 SWG ID,Date,Collector,Plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M/F,Size,Notes,Field_collector,field_plant_sp,Determined by,Specimen ID status,Status notes,full_plant_sp,TRUE_SP,UT_ID,diversity_exclude,network_exclude,other_exclude,Morphospecies,Site,Plot,Taxon
SWG23_0088,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Strymon ,melinus,,,,H. Afshar,ASVI2,,,,,,,,,,,,,
SWG23_0089,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Strymon ,melinus,,,,E. Rivera,ASVI2,,,,,,,,,,,,,
SWG23_0090,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Strymon ,melinus,,,,E. Rivera,POTE3,,,,,,,,,,,,,
SWG23_0091,8 VI 23,Jha Lab-UT,Whitney Main,PM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Strymon ,melinus,,,,E. Rivera,RUHI2,,,,,,,,,,,,,
SWG23_0092,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Hymenoptera,Vespidae,Polistes,,,,,E. Rivera,RUHI2,,,,,,,,,,,,,
SWG23_0093,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Hymenoptera,Halictidae,Agapostemon,angelicus,F,,,R. Kusumo,RUHI2,,Done,,,,,,,,,,,
SWG23_0094,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Hymenoptera,Halictidae?,,,,,,M. Caballero,RUHI2,,,,,,,,,,,,,
SWG23_0095,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Hymenoptera,Halictidae?,,,,,,E. Rivera,RUHI2,,,,,,,,,,,,,
SWG23_0096,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Hymenoptera,Megachilidae,,,,,,R. Kusumo,MOCL,,,,,,,,,,,,,
SWG23_0097,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Coleoptera,Scarabaeidae,Euphoria,kernii,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0098,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Diptera,Bombyliidae,,,,,,M. Caballero,RUHI2,,,,,,,,,,,,,
SWG23_0099,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Diptera,Bombyliidae,,,,,,H. Afshar,RUHI2,,,,,,,,,,,,,
SWG23_0100,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Hesperiidae,Atalopedes,campestris,,,,M. Caballero,RUHI2,,,,,,,,,,,,,
SWG23_0101,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Hesperiidae,Atalopedes,campestris,,,,E. Rivera,RUHI2,,,,,,,,,,,,,
SWG23_0102,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Echinargus,isola,,,,M. Caballero,PHNO2,,,,,,,,,,,,,
SWG23_0103,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Echinargus,isola,,,,M. Caballero,RUHI2,,,,,,,,,,,,,
SWG23_0104,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Echinargus,isola,,,,H. Afshar,VEHA,,,,,,,,,,,,,
SWG23_0105,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Lycaenidae,Hemiargus/Echinargus,,,,Too worn to idnetify,R. Kusumo,RUHI2,,,,,,,,,,,,,
SWG23_0106,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Nymphalidae,Cercyonis,pegala,,,,H. Afshar,MOCL,,,,,,,,,,,,,
SWG23_0107,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Nymphalidae,Junonia,coenia,,,,H. Afshar,GAAE,,,,,,,,,,,,,
SWG23_0108,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Nymphalidae,Vanessa,virginiansis,,,,M. Caballero,RUHI2,,,,,,,,,,,,,
SWG23_0109,8 VI 23,Jha Lab-UT,Whitney Main,AM Netting,TX: Hill Co; Laguna Park,"31.88 N, 97.35 W",Lepidoptera,Nymphalidae,Junonia,coenia,,,,E. Rivera,SACA3,,,,,,,,,,,,,
